"constructorId","constructor","constructor_nationality","raceId","constructor_points","constructor_wins","circuitId","race_name","year"
1,"McLaren","British",510,11,0,7,"Canadian Grand Prix",1980
1,"McLaren","British",121,120,2,14,"Italian Grand Prix",2003
1,"McLaren","British",307,40,3,21,"San Marino Grand Prix",1991
1,"McLaren","British",50,202,8,16,"Japanese Grand Prix",2007
1,"McLaren","British",371,141,10,29,"Australian Grand Prix",1989
1,"McLaren","British",902,43,0,3,"Bahrain Grand Prix",2014
1,"McLaren","British",1017,40,0,34,"French Grand Prix",2019
1,"McLaren","British",122,128,2,19,"United States Grand Prix",2003
1,"McLaren","British",945,27,0,24,"Abu Dhabi Grand Prix",2015
1,"McLaren","British",352,381,5,22,"Japanese Grand Prix",2010
1,"McLaren","British",85,136,7,14,"Italian Grand Prix",2005
1,"McLaren","British",223,63,3,26,"European Grand Prix",1997
1,"McLaren","British",17,71,2,24,"Abu Dhabi Grand Prix",2009
1,"McLaren","British",18,14,1,1,"Australian Grand Prix",2008
1,"McLaren","British",511,11,0,46,"United States Grand Prix",1980
1,"McLaren","British",224,2,0,1,"Australian Grand Prix",1996
1,"McLaren","British",145,32,1,4,"Spanish Grand Prix",2001
1,"McLaren","British",308,50,4,6,"Monaco Grand Prix",1991
1,"McLaren","British",442,56.5,5,7,"Canadian Grand Prix",1984
1,"McLaren","British",19,24,1,2,"Malaysian Grand Prix",2008
1,"McLaren","British",255,27,0,22,"Japanese Grand Prix",1995
1,"McLaren","British",123,142,2,22,"Japanese Grand Prix",2003
1,"McLaren","British",573,61,5,48,"Canadian Grand Prix",1976
1,"McLaren","British",903,43,0,17,"Chinese Grand Prix",2014
1,"McLaren","British",225,5,0,18,"Brazilian Grand Prix",1996
1,"McLaren","British",595,37,3,6,"Monaco Grand Prix",1974
1,"McLaren","British",1019,60,0,9,"British Grand Prix",2019
1,"McLaren","British",372,9,1,36,"Brazilian Grand Prix",1988
1,"McLaren","British",124,4,0,1,"Australian Grand Prix",2002
1,"McLaren","British",533,4,0,45,"Spanish Grand Prix",1978
1,"McLaren","British",20,28,1,3,"Bahrain Grand Prix",2008
1,"McLaren","British",328,64,3,9,"British Grand Prix",1990
1,"McLaren","British",1059,110,0,34,"French Grand Prix",2021
1,"McLaren","British",373,24,2,21,"San Marino Grand Prix",1988
1,"McLaren","British",226,5,0,25,"Argentine Grand Prix",1996
1,"McLaren","British",354,421,5,18,"Brazilian Grand Prix",2010
1,"McLaren","British",309,50,4,7,"Canadian Grand Prix",1991
1,"McLaren","British",512,4,0,25,"Argentine Grand Prix",1979
1,"McLaren","British",125,4,0,2,"Malaysian Grand Prix",2002
1,"McLaren","British",905,52,0,6,"Monaco Grand Prix",2014
1,"McLaren","British",520,11,0,9,"British Grand Prix",1979
1,"McLaren","British",21,34,1,4,"Spanish Grand Prix",2008
1,"McLaren","British",1021,82,0,11,"Hungarian Grand Prix",2019
1,"McLaren","British",596,40,3,47,"Swedish Grand Prix",1974
1,"McLaren","British",603,70,4,48,"Canadian Grand Prix",1974
1,"McLaren","British",475,45,3,39,"Dutch Grand Prix",1982
1,"McLaren","British",257,0,0,18,"Brazilian Grand Prix",1994
1,"McLaren","British",1061,163,0,9,"British Grand Prix",2021
1,"McLaren","British",227,9,0,20,"European Grand Prix",1996
1,"McLaren","British",374,33,3,6,"Monaco Grand Prix",1988
1,"McLaren","British",597,42,3,39,"Dutch Grand Prix",1974
1,"McLaren","British",310,54,4,32,"Mexican Grand Prix",1991
1,"McLaren","British",22,42,1,5,"Turkish Grand Prix",2008
1,"McLaren","British",906,66,0,7,"Canadian Grand Prix",2014
1,"McLaren","British",355,454,5,24,"Abu Dhabi Grand Prix",2010
1,"McLaren","British",228,9,0,21,"San Marino Grand Prix",1996
1,"McLaren","British",513,4,0,18,"Brazilian Grand Prix",1979
1,"McLaren","British",534,7,0,47,"Swedish Grand Prix",1978
1,"McLaren","British",514,4,0,30,"South African Grand Prix",1979
